Time_s,Current_A
0.0,0.5437
1.0,-0.0006
2.0,0.2776
3.0,0.6411
4.0,-0.7085
5.0,-0.405
6.0,0.6054
7.0,0.8066
8.0,23.1467
9.0,21.1953
10.0,22.0215
11.0,22.902
12.0,24.8861
13.0,27.9476
14.0,30.4726
15.0,31.9707
16.0,31.5007
17.0,30.433
18.0,27.9891
19.0,24.5208
20.0,19.7926
21.0,16.0261
22.0,12.6449
23.0,10.8677
24.0,11.308
25.0,12.334
26.0,13.2765
27.0,15.3119
28.0,16.136
29.0,15.8181
30.0,15.0944
31.0,13.3221
32.0,9.7186
33.0,7.2447
34.0,2.9795
35.0,2.8706
36.0,2.568
37.0,3.9546
38.0,6.958
39.0,9.7735
40.0,14.2726
41.0,17.7816
42.0,20.48
43.0,20.6464
44.0,20.2636
45.0,19.2352
46.0,18.322
47.0,16.9091
48.0,16.2454
49.0,17.5482
50.0,19.5288
51.0,23.0306
52.0,26.0096
53.0,29.6452
54.0,32.2916
55.0,33.2189
56.0,33.7225
57.0,32.0284
58.0,29.1409
59.0,25.7421
60.0,22.1154
61.0,20.1018
62.0,18.8532
63.0,18.619
64.0,19.8419
65.0,21.5818
66.0,23.6219
67.0,23.7053
68.0,23.3617
69.0,21.5012
70.0,17.791
71.0,14.7306
72.0,10.7103
73.0,8.06
74.0,4.4329
75.0,3.5041
76.0,3.7764
77.0,5.0412
78.0,8.5119
79.0,11.0952
80.0,13.4062
81.0,14.0819
82.0,15.1833
83.0,13.1276
84.0,12.2392
85.0,11.0124
86.0,8.3259
87.0,8.096
88.0,9.3272
89.0,11.469
90.0,14.5914
91.0,19.4192
92.0,23.1198
93.0,27.1947
94.0,28.8877
95.0,30.6579
96.0,29.0969
97.0,27.5974
98.0,25.8775
99.0,23.0395
100.0,22.329
101.0,22.5605
102.0,22.3643
103.0,24.9885
104.0,27.3758
105.0,29.7613
106.0,30.3232
107.0,30.3747
108.0,29.6967
109.0,26.7922
110.0,22.9563
111.0,18.7818
112.0,14.4468
113.0,11.7852
114.0,10.0819
115.0,9.3562
116.0,11.2633
117.0,12.3117
118.0,13.3652
119.0,15.3204
120.0,-0.6246
121.0,0.5861
122.0,0.2317
123.0,-0.5611
124.0,0.5063
125.0,-0.7915
126.0,-0.5336
127.0,0.4776
128.0,4.6736
129.0,7.4787
130.0,11.2163
131.0,15.1628
132.0,18.8397
133.0,21.3363
134.0,22.329
135.0,22.3096
136.0,20.8328
137.0,19.9019
138.0,17.9828
139.0,18.7772
140.0,18.7219
141.0,20.1507
142.0,23.0737
143.0,27.1809
144.0,30.2095
145.0,33.0716
146.0,34.1395
147.0,33.5262
148.0,31.343
149.0,28.1018
150.0,25.0458
151.0,22.2439
152.0,19.4221
153.0,17.4233
154.0,17.8261
155.0,18.786
156.0,19.7256
157.0,21.5474
158.0,22.2636
159.0,21.4199
160.0,20.333
161.0,17.5083
162.0,13.9913
163.0,10.039
164.0,5.5901
165.0,3.3545
166.0,2.9779
167.0,3.5647
168.0,5.4725
169.0,9.5472
